lat,lon,eal_score,risk_score,hurricane_score,coastal_flood_score,inland_flood_score,tornado_score,wildfire_score,wind_score,surge
30.4601,-82.4209,24.348,20.447,75.873,1.085,33.655,40.244,79.29,15.874,8.263
30.4601,-82.4009,22.613,18.202,75.267,0.91,32.466,39.297,79.053,14.611,8.331
30.4601,-82.3809,21.435,16.678,74.848,0.766,31.672,38.657,78.896,13.754,8.396
30.4601,-82.3609,20.674,15.694,74.573,0.658,31.167,38.246,78.796,13.202,8.459
30.4601,-82.3409,20.209,15.09,74.403,0.593,30.863,37.997,78.737,12.862,8.519
30.4601,-82.3209,19.95,14.75,74.306,0.572,30.697,37.859,78.705,12.671,8.574
30.4601,-82.3009,19.842,14.6,74.265,0.602,30.629,37.804,78.692,12.585,8.626
30.4601,-82.2809,19.858,14.601,74.27,0.697,30.644,37.818,78.695,12.583,8.674
30.4601,-82.2609,19.998,14.746,74.319,0.882,30.74,37.901,78.715,12.66,8.717
30.4601,-82.2409,20.283,15.055,74.42,1.202,30.937,38.069,78.754,12.826,8.756
30.4601,-82.2209,20.76,15.574,74.585,1.726,31.27,38.349,78.821,13.104,8.791
30.4601,-82.0209,54.173,49.41,84.651,48.367,57.442,58.252,84.536,30.202,8.966
30.4601,-82.0009,59.022,54.124,86.025,56.12,61.382,61.063,85.459,32.412,8.973
30.4601,-81.9809,63.081,58.027,87.163,62.862,64.693,63.376,86.254,34.184,8.978
30.4601,-81.9609,66.27,61.06,88.051,68.379,67.302,65.157,86.9,35.513,8.982
30.4601,-81.9409,68.657,63.305,88.712,72.673,69.259,66.459,87.399,36.472,8.986
30.4601,-81.921,70.391,64.925,89.192,75.889,70.688,67.391,87.771,37.179,8.989
30.4601,-81.901,71.656,66.116,89.545,78.239,71.746,68.079,88.044,37.778,8.991
30.4601,-81.881,72.642,67.078,89.827,79.944,72.597,68.658,88.246,38.428,8.993
30.4601,-81.861,73.531,68.007,90.093,81.209,73.406,69.261,88.404,39.31,8.994
30.4601,-81.841,74.507,69.109,90.397,82.218,74.345,70.032,88.545,40.645,8.995
30.4601,-81.821,75.765,70.611,90.801,83.132,75.606,71.137,88.692,42.716,8.996
30.4601,-81.801,77.524,72.772,91.374,84.101,77.405,72.767,88.87,45.875,8.997
30.4601,-81.781,79.981,75.833,92.18,85.248,79.943,75.102,89.1,50.458,8.997
